Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
20/04/2007,#N/A N/A,#N/A N/A,#N/A N/A,3296.392
23/04/2007,#N/A N/A,#N/A N/A,#N/A N/A,3289.685
24/04/2007,#N/A N/A,#N/A N/A,#N/A N/A,3288.82
25/04/2007,#N/A N/A,#N/A N/A,#N/A N/A,3321.312
26/04/2007,#N/A N/A,#N/A N/A,#N/A N/A,3320.012
27/04/2007,#N/A N/A,#N/A N/A,#N/A N/A,3319.36
30/04/2007,#N/A N/A,#N/A N/A,#N/A N/A,3291.661
01/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3300.797
02/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3323.675
03/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3337.991
04/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3344.763
07/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3352.726
08/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3349.125
09/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3361.174
10/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3314.7
11/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3347.276
14/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3340.592
15/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3335.405
16/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3363.938
17/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3360.216
18/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3381.903
21/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3388.368
22/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3387.57
23/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3382.735
24/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3349.046
25/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3367.538
28/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3367.538
29/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3374.803
30/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3403.348
31/05/2007,#N/A N/A,#N/A N/A,#N/A N/A,3404.711
01/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3417.449
04/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3424.471
05/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3406.213
06/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3375.806
07/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3315.736
08/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3353.6
11/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3356.836
12/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3321.597
13/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3371.962
14/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3388.795
15/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3411.176
18/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3407.048
19/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3413.06
20/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3367.106
21/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3388.145
22/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3345.837
25/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3333.409
26/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3322.526
27/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3353.426
28/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3351.971
29/06/2007,#N/A N/A,#N/A N/A,#N/A N/A,3346.552
02/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3383.054
03/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3395.181
04/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3395.181
05/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3397.4
06/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3410.367
09/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3412.217
10/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3363.752
11/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3382.297
12/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3444.831
13/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3456.02
16/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3450.109
17/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3451.175
18/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3443.84
19/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3459.401
20/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3418.032
23/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3433.612
24/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3365.759
25/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3379.285
26/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3300.962
27/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3250.139
30/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3283.1
31/07/2007,#N/A N/A,#N/A N/A,#N/A N/A,3241.975
01/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3263.681
02/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3279.789
03/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3193.998
06/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3268.244
07/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3289.66
08/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3338.135
09/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3242.356
10/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3241.665
13/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3239.962
14/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3181.858
15/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3136.436
16/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3143.175
17/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3220.315
20/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3220.504
21/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3225.482
22/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3263.736
23/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3260.291
24/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3297.745
27/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3269.715
28/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3193.516
29/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3263.53
30/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3251.301
31/08/2007,#N/A N/A,#N/A N/A,#N/A N/A,3289.149
03/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3289.149
04/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3324.437
05/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3288.595
06/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3302.195
07/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3246.636
10/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3241.697
11/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3285.682
12/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3286.062
13/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3313.599
14/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3314.554
17/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3296.852
18/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3392.218
19/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3412.255
20/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3390.209
21/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3405.936
24/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3389.22
25/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3388.665
26/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3406.886
27/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3422.335
28/09/2007,#N/A N/A,#N/A N/A,#N/A N/A,3412.458
01/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3457.692
02/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3457.478
03/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3441.773
04/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3449.46
05/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3483.898
08/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3472.559
09/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3500.391
10/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3496.393
11/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3478.302
12/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3495.746
15/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3465.856
16/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3442.11
17/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3448.462
18/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3445.69
19/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3357.394
22/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3372.953
23/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3402.352
24/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3394.19
25/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3390.407
26/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3436.922
29/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3450.832
30/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3427.943
31/10/2007,#N/A N/A,#N/A N/A,#N/A N/A,3468.902
01/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3379.836
02/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3382.143
