Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
22/01/2003,#N/A N/A,#N/A N/A,#N/A N/A,69.352
23/01/2003,#N/A N/A,#N/A N/A,#N/A N/A,69.233
24/01/2003,#N/A N/A,#N/A N/A,#N/A N/A,68.373
27/01/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.411
28/01/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.641
29/01/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.599
30/01/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.808
31/01/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.809
03/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.808
04/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.993
05/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,68.541
06/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,68.369
07/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,68.254
10/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.955
11/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.803
12/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,68.945
13/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.79
14/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.252
17/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,68.21
18/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,68.001
19/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,68.434
20/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,68.343
21/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.266
24/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.255
25/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.882
26/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.523
27/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.413
28/02/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.118
03/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.738
04/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.052
05/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.56
06/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,62.809
07/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,62.441
10/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,62.253
11/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,62.682
12/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.522
13/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.34
14/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.239
17/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.129
18/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.02
19/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.378
20/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.837
21/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.937
24/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.584
25/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.465
26/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.642
